,topic_id,turn_id,query,relevance_scores,passage_ids,passages
10,135,2-1,Cool. Do you have any tips to lose weight by running?,"[4, 4, 4]","['MARCO_02_1831526726-2', 'MARCO_06_403700197-3', 'MARCO_09_1881497793-1']","[""But there are ways to control your Cookie Monster cravings, get all the nutrition and fuel you need to run well, and lose weight. Get a jump-start with our free Nutrition Course – delivered straight to your inbox with tips on training, nutrition, weight loss, and more.  Why It's Hard to Lose Weight While Running Recently Anne emailed me an excellent question: 'How can I lose weight and run a lot at the same time?  I have 9 months before my marathon and I'm scared that I won't be able to make it because of my weight.  I don't want to stop running to go on a strict diet but I'm unclear as to how I can lose weight and run at the same time.'  Anne's question echoes many sentiments that I've heard from runners who struggle with weight loss and running.  Have you ever wondered how you can keep losing weight while eating all of the carbs necessary for running?  Or how to control your appetite after a long run?  These are all great questions.  And to answer them, we have to stop thinking about 'diets' and cutting calories because those strategies simply don't work for runners."", ""Repeat for 25 minutes or as your fitness levels allow. Studies have shown that high-intensity intervals will also burn more fat after your workout.  Hit the hills If you're used to running on flat ground, then hit the hills to burn more calories.  For every degree of incline, you get about a 10 percent increase in total calories burnt, so a gentle hill will burn about 50 percent more calories.  Run up the hill at a high intensity for 10 – 30 seconds, jog back down and take a 30 – 60 second rest.  Repeat 4 – 12 times or as your fitness levels alow.  If you're in the gym, set the treadmill to a 5 percent incline for the run, then reset for the jog back.  Not only is this going to burn a lot more fat, but you'll also be hitting your glutes a lot harder, so you'll get a perkier butt too!  Blast off with shuttle runs There's a reason why these guys are so popular in the sporting world – love them or hate them they work!  You'll torch fat and build explosive speed and agility; adding shuttle runs to your cardio sessions is a great way to incorporate high intensity training.  Here's how to do shuttle runs.  Step it up."", ""Running To Lose Weight - Running is the Best Way to Shed Pounds Running to Lose Weight 1.  Run consistently.  This is by far the most important thing to do if you are serious about losing some weight.  2. Increase the intensity of your runs.  For people with a limited time frame for working out, you might have to speed up your pace during the run in order to burn more calories.  You can do a variety of different running workouts to help you get the most out of each run.  3.  Eat more fruits and vegetables.  Also, eat less of everything else.  I don't recommend one diet over another, but eating more 'real' foods like fruits and veggies which have all the vitamins and minerals you need naturally will help you with your weight loss goals.  Tips4Running recommends following the Start Walking, Get Running, Lose Weight Plan to gradually work your way back into shape.  It's a great plan with a five week walking schedule, a ten week walk and jog schedule, and a ten week running schedule.  YouTube David T. The O.G. 26.1K subscribers Subscribe Running to Lose Weight - Three Tips Info Shopping Tap to unmute If playback doesn't begin shortly, try restarting your device.""]"
11,135,2-3,How often should I run to lose weight?,"[4, 4, 4]","['MARCO_00_741017181-6', 'MARCO_02_1831526726-3', 'MARCO_04_512143468-8']","[""When you start your running program, make a simultaneous effort to eat fewer foods from the right-hand column and more from the left-hand column — especially from the top of the left-hand column. There is proof that it works.  Earlier this year, Danish researchers reported new runners seeking weight loss who ran more than 5km (3.1 miles) per week for one year but did not change their diets lost an average of 8.4 pounds.  Meanwhile, new runners seeking weight loss who ran more than 5km (3.1 miles) per week for one year and did change their diets lost an average of 12.3 pounds.  HOW TO LOSE WEIGHT FASTER Even 12.3 pounds of weight loss in one year might not seem like a lot.  If your goal is bigger than that, there are two things you can do: Run more and eat less.  While it's important to progress slowly, you can continue to progress with your running until you are doing as much as you can with the time, energy and motivation you have.  If you are highly motivated, consider aiming for a long-term goal of building up to 60 minutes of running per day, six days per week."", ""If you cut calories or carbs while running a lot (like during marathon training ), you'll feel sluggish, have poor post-workout recovery, and may not be able to finish your most challenging workouts. Your ability to tolerate high training levels will be dramatically reduced.  So you can't 'diet' by cutting calories if you're training because you'll run poorly.  And to lose weight (and keep it off), you have to run smart.  Train Smart to Lose More Weight There's comforting news for competitive runners: smart training can help you lose more weight than 'just' running.  When your training is designed properly with a time goal in mind, you'll shed pounds faster than if you were just running for fun.  I've asked a lot of runners 'what fast workouts have you done recently?'  And the responses are often a variation of the same answer: '45 minute – 1hr runs at the same pace a few times per week' 'None…' 'Once a week I finish a run a little faster than usual and try to get a negative split.'  'Random intervals when I remember… about once per month.'  No wonder why many runners find it difficult to lose weight."", ""Weighing Yourself Once A Month Let's be honest here… in terms of monitoring progress, weighing yourself just once per month is pretty terrible and not recommended at all from an accuracy or tracking standpoint for obvious reasons. But on the other hand, if you're someone who will be driven to an eating disorder (or are recovering from one) or will just generally go nuts as a result of weighing yourself too frequently, then once per month may be just right for you.  And The Winner Is…  So how often should you weigh yourself?  As usual, the true best answer is that it depends on you and the type of person you are.  Every Day  In terms of the most accurate way to do it, weighing yourself every day is the best option.  It's how I do it, and as long as you do it correctly (take the weekly average) and don't let the daily fluctuations negatively affect you, then it's how I'd recommend it be done.  That's why it's the tracking approach I use in my Superior Fat Loss program.  But if you are the type of person who will turn it into an unhealthy obsession and respond poorly to seeing typical day-to-day changes in your weight, then you should probably avoid this option.""]"
12,142,1-3,What makes Buenos Aires the culture capital of South America?,"[4, 4, 4]","['MARCO_16_3046749093-39', 'MARCO_20_1201793411-1', 'MARCO_20_93370013-6']","[""In fact, every weekend, there are about 300 active theaters with plays, a number that places the city as 1st worldwide, more than either London, New York or Paris, cultural Meccas in themselves. The number of cultural festivals with more than 10 sites and 5 years of existence also places the city as 2nd worldwide, after Edinburgh.  The Centro Cultural Kirchner (Kirchner Cultural Center), located in Buenos Aires, is the largest cultural center of Latin America, and the third worldwide.  Buenos Aires is the home of the Teatro Colón, an internationally rated opera house.  There are several symphony orchestras and choral societies.  The city has numerous museums related to arts and crafts, history, fine arts, modern arts, decorative arts, popular arts, sacred art, theater and popular music, as well as the preserved homes of noted art collectors, writers, composers and artists.  The city is home to hundreds of bookstores, public libraries and cultural associations (it is sometimes called 'the city of books'), as well as the largest concentration of active theaters in Latin America.  It has a zoo and botanical garden, a large number of landscaped parks and squares, as well as churches and places of worship of many denominations, many of which are architecturally noteworthy."", ""Buenos Aires the Capital City of Argentina - Gets Ready Buenos Aires the Capital City of Argentina Buenos Aires is known as the capital city of Argentina, South America.  Buenos Aires is also called the Paris of the South America.  Buenos Aires hypnotizes many visitors for its exotic city-life.  With regards the tourism sites, Buenos Aires has many great spot to visit such as: Recoleta Recoleta is a shopping district, culinary and tourism area as well.  Visitor can visit a seasonal market that opens every Saturday.  Calle Florida Calle Florida is the heaven for souvenirs' hunters in Buenos Aires.  You ca find many shops that sells many kind of souvenirs made from pure leather.  Casa Rosada Casa Rosada or Pink House is a presidential palace as well as becomes a historical monument.  The building style is very attractive.  The area is always crowded by many visitors.  San Telmo In San Telmo area, there are many old or antique buildings as a trade center of some antiques stuffs in there.  Fell the ethnic atmosphere by visiting San Telmo.  La Boca Buenos has many old districts with classic buildings.  La Boca is an old harbor where that Tango Dance was born.  Today, the area becomes the tourism pedestrian center and there are many Tango dancer clubs there."", ""Regarded as the Paris of South America, Buenos Aires apart from being Argentina's capital city is known for many things. Buenos Aires is a city full of elegance and sophistication.  It overflows with culture showcasing the opera houses, theatres as well as the Italian and French architecture.  Thus, it is one of the best places to visit that has a lot going within to keep you entertained forever.  Santiago The largest as well as the capital city of Chile, Santiago has a fairly warm climate due to its location in the central valley of Chile.  The city experiences dry and warm summers and fairly humid winters and accommodates a population of about 310,000.  Santiago generates about 45% of the country's entire GDP and its economy is the major source of the country's economy.  Santiago's major industries are inclusive of the retail i.e. selling of varied consumer goods.  The tallest structure within the entire Latin America named as The Gran Torre Santiago is located in this capital city of South America.  Additionally, several museums, about 174 national monuments and various libraries of this capital city are recognized for their architectural extravagance.  The cultural life of this city is cosmopolitan in nature and exhibits a strong North American as well as European influence.""]"
13,142,8-1,What are some popular meat dishes in Chile?,"[4, 4, 4]","['MARCO_00_1687935662-4', 'MARCO_00_1687935662-9', 'MARCO_06_485937723-5']","[""Chili-laden rustic peasant dishes became less popular and French, German and English influences brought international dishes. Today's Chilean cuisine is a combination of all the above.  It is usually simply cooked without complicated sauces or seasonings.  Meats are usually grilled or boiled for hearty boiled dinners ( cazuelas ), fish are grilled or fried, shellfish are steamed or served in soups or bread thickened pudding-like chupes, and vegetables are served in soups or as salads.  The major seasonings are oregano, cumin, paprika, and a little garlic.  Foreigners often find Chilean cuisine bland (and Chileans find much American and European cooking over seasoned and strong tasting).  The best of Chilean food: Sea food.  Fish and shellfish, simply prepared, are the best Chile has to offer.  Congrio (conger or kingclip) is Chile's favorite and best fish and batter-fried congrio is near the top of everyone's list of Chile's best dishes.  Congrio is also good grilled and in chowders.  The best restaurant dish I ever had in Chile was Caldillo de Congrio, congrio chowder, at the restaurant attached to Pedro Neruda's house-museum in Isla Negra.  Other Chilean fish ( reneta, merluza, corvina, and farm raised salmon) are also good but tend to be overcooked for international taste."", ""These restaurants, specializing in grilled meats, are very popular and if you are a committed meat eater you'll probably want to try one. The parilla mixta (mixed grill--right) serving two or more is popular and hard to pass up.  It will usually include a couple of cuts of beef, pork chops, sausages, chicken and potatoes—a major cholesterolaso .  Individual steaks and chops will also be on the menu.  Most Chilean beef is grass fed and is tasty, but chewy and expensive.  So don't look to Parriladas for that special night-out meal.  Wait until you get to Argentina.  Ethnic cuisines: Although there are some exceptions, Chile's ethnic restaurants tend to be disappointing.  Chinese food is very popular and there are large sit-down restaurants and literally hundreds of take-out places, all serving chicken chop suey and Mongolian beef -- without ginger or garlic.  Since Chinese, Thai, Indian and Mexican cuisines use spices that are not to Chilean tastes, their dishes are often toned down to the point of being almost unrecognizable.  One exception is Korean food which is so un-Chilean that it is often very authentic.  What to drink Wine, of course, but also beer, pisco, mineral water and soft drinks--and tap water."", ""Cover the filling with the corn mixture, then sprinkle on the  confectioners' sugar. Bake in the oven for 30 to 35 minutes until the crust is golden brown.  Serve hot.  Makes 4 to 6 servings.  A typical Chilean dish is cazuela de ave , a thick stew of chicken, potatoes, rice, green peppers, and,  occasionally, onions.  Humitas are a national favorite, and they come from the Amerindians who are  native to Chile.  Humitas are made with grated fresh corn, mixed into a  paste with fried onions, basil, salt, and pepper.  The mixture is then  wrapped in cornhusks and cooked in boiling water.  Corn husks wrap humitas, a favorite snack.  Inside is a paste of  grated corn seasoned with onions, herbs, salt, and pepper.  EPD Photos Empanadas , little pies usually stuffed with beef, olives, and onions, are another  favorite.  A popular dish is bistec a lo pobre (poor man's steak), which is steak topped with two fried eggs, and  served with fried onions and French fries.  Despite the name, poor Chileans  cannot afford to eat this meal because beef is very expensive; this dish  is actually eaten by wealthier people.""]"
14,145,1-5,What is the impact of dead corals on humans?,"[4, 3, 3]","['MARCO_22_1063811612-4', 'MARCO_24_419073719-3', 'MARCO_55_1321875730-11']","[""What about us? Would humans on land be affected too?  Absolutely.  Since reefs support fish, they also support the fisheries, feeding and giving jobs to 500 million people in tropical countries like Indonesia, Malaysia and the Philippines.  Of course, the local tourism industries would crash.  No one wants to dive into a forest of seaweed.  With no corals left, coastal countries would lose $375 billion of annual income.  Coastlines would no longer be protected from flooding in extreme storms.  Coral provides a natural breakwater, and a buffer against erosion.  Without it, water would push local residents out of their homes.  As the ocean spread out, the residents of these densely populated islands would have nowhere to go.  The countries might vanish from the planet together with the reefs.  Without seafood there would be increased pressure on farms to make up for the shortfall in protein.  This might turn into a global food crisis.  It's hard to predict what else the disruption to the food chain and biodiversity of the oceans would lead to.  Sure enough, that wouldn't be pretty.  The truth is, this hypothetical scenario is getting very real.  The corals of the Great Barrier Reef are bleaching quickly and are unlikely to recover.  Can humans help their survival?"", ""If corals disappear, a whole ecosystem would collapse with them: entire species (known and still unknown ones) would die. And of course it would impact us, humans.  3. Because 850 million humans depend on them This is something we overlook: more than 850 million humans depend on coral reefs.  Large communities rely on the fisheries for their livelihoods and to feed their families.  Corals attract millions of tourists, divers and snorkelers.  Corals even generate the beautiful white sand that is a must-have for many travelers.  Because of their impact on tourism, corals support local populations.  Coral Reefs even save humans lives, as they offer natural coastal protection against storms or hurricanes.  They are also a source for new medicinal remedies to treat cancer, human bacterial infections, Alzheimer's disease, heart disease, and viruses.  Studies estimate their economic value at US$100 000–600 000 per km² ( UNEP report, 2006 ).  Coral reefs comprise an area of almost 300 000 km² (Italy's total area), thus providing one of the most high-value ecosystems.  Coral reefs are valuable, and that's exactly what we want to illustrate by creating blockchain based assets called CryptoCorals.  Those assets assign an economic value to corals which until now, did not formally have one."", ""This affects the 100 crop species that make up one-third of the average diet. Bee pollination is worth $15 billion to the U.S. farming industry.  Neonicotinoid class insecticides weakened the bees' immune system.  On May 22, 2019, the Environmental Protection Agency banned 12 neonicotinoid pesticides.  As coral reefs die, flood damage from storms will double to $4 billion a year.  These reefs protect the shoreline from hurricanes by slowing them down.  How It Affects You The extinction event will raise the cost of food or even eliminate many sources of food pollinated by insects.  Fish and other seafood will disappear from our plates by 2048.  Oxygen levels could decrease as phytoplankton levels further decline .  Other animals play an important role in keeping the earth's ecosystems functioning.  If apes go extinct, the jungles they lived in could disappear.  Many plants depend on them to propagate their larger seeds.  Whales play a similar role in the ocean by recycling nutrients from the bottom to the top layers.  Will man survive the sixth extinction?  Being geographically widespread would seem to be a help, but it isn't enough.  Most of the species that covered the earth during the past events disappeared because the event's impact was also widespread.""]"
15,145,2-5,How much coral has been bleached?,"[3, 3, 3]","['MARCO_16_3929298904-8', 'MARCO_56_482734773-11', 'WAPO_01dc24dcada1488013fffd3a27464e3d-2']","['The most widespread and intense events occurred in the summers of 1998 and 2002, with 42% and 54%, respectively, of reefs bleached to some extent, and 18% strongly bleached. However, coral losses on the reef between 1995 and 2009 were largely offset by growth of new corals.  An overall analysis of coral loss found that coral populations on the Great Barrier Reef had declined by 50.7% from 1985 to 2012, but with only about 10% of that decline attributable to bleaching, and the remaining 90% caused about equally by tropical cyclones and by predation by crown-of-thorns starfishes.  A global mass coral bleaching has been occurring since 2014 because of the highest recorded temperatures plaguing oceans.  These temperatures have caused the most severe and widespread coral bleaching ever recorded in the Great Barrier reef.  The most severe bleaching in 2016 occurred near Port Douglas.  In late November 2016 surveys of 62 reefs showed that long term heat stress from climate change caused a 29% loss of shallow water coral.  The highest coral death and reef habitat loss was inshore and mid-shelf reefs around Cape Grenville and Princess Charlotte Bay.', ""Loss   of   Biodiversity      Coral   reefs   (both   tropical   and   cold   water)   are   very   sensitive   to   ocean   acidification,   with   60   per   cent   of   reefs   currently   threatened   by   a   combination   of   ocean   warming,   acidification   and   other   anthropogenic   impacts,   a   number   that   will   rise   to   90   per   cent   by   2030   and   about   100   per   cent   by   2050.          About   20   per   cent   of   the   world's   coral   reefs   have   been   destroyed   and   show   no   immediate   prospects   for   recovery;   about   16   per   cent   of   them   were   seriously   damaged   by   coral   bleaching   in   1998,   but   of   these   about   40   per   cent   have   either   recovered   or   are   recovering   well.        1998   was   declared   the   first   major   coral   bleaching   event."", ""'A green plume of symbiont cells was expelled via the mouth during tissue inflation and contraction,' they wrote. In some instances, the coral enlarged by up to 340 percent of its normal size.  For the scientists who have devoted their lives to studying these living structures, observing the bleached reefs can be an emotionally fraught experience.  In the Guam coral reef, some 85 percent of the coral has bleached.  Seeing the damage this year was particularly tough for University of Guam coral ecologist Laurie Raymundo.  'I cried for an hour, right into my mask, as I witnessed the extent to which our lovely Tumon Bay corals were bleaching and dying,' she wrote on Facebook, as The Washington Post reported earlier this month.  The Great Barrier Reef has also taken a turn for the worse.  Surveys of nearly 1,000 reefs that make up the barrier spotted bleaching 93 percent of the time.  In the Queensland study, the researchers raised the temperature of the ambient water from 78.8 degrees Fahrenheit to nearly 90 degrees over the course of 12 hours.  They kept the coral exposed to that heat for more than a week.  Heat is one of several triggers that stresses coral — and when stressed, the animals evict the smaller organisms living inside them.""]"
16,144,1-1,What does SpaceX's rocket engine reusability mean and why do they care?,"[3, 3, 3]","['MARCO_10_1622826223-2', 'MARCO_39_444862558-10', 'MARCO_39_444862558-6']","[""If you're wondering how an Earth you can reuse a three stage rocket, there's actually nothing simple to it: each component (referring to the lower and mid -stage; the upper stage Dragon capsule has already proven its reusability) is independent and is capable of flying back to its exact launch location after separation. An animation demonstrates the concept.  The three components of SpaceX's planned fully reusable rocket launching system: the first stage (left), second stage (center), and crew capsule (right).  (c) SpaceX Such a rocket, according to Musk, will be capable of being fully ready for launch again 24 hours tops after it last went into orbit, and cost a hundred fold less than it does today to put cargo into space.  Launching the Falcon Heavy and Falcon 9, the rocket SpaceX currently used to launch its Dragon capsule to the International Space Station, costs $10,000 per pound – the reusable rocket would cost only $10 per pound.  ADVERTISEMENT 'That, however, requires a very high flight rate, just like aircraft,' Musk says.  'At a low flight rate, the improvement is still probably around 50 percent.  For Falcon Heavy, that would mean a price per pound to orbit of less than $500.'"", ""The second launch of the same booster then costs only the mentioned $15 million, which include refurbishment of the booster and payload fairings, production of a new second stage, fuel, the cost of operating a naval recovery fleet, etc. SpaceX charges a little less for launches with a reused booster, so if the second launch carried a payload for a paying customer, SpaceX gets $50 million. That means the total revenue from two launches of that booster is $112 million ($62M + $50M), while the total cost to SpaceX is only $65 million ($50M + $15M).  So SpaceX would have made $47 million in profit after two launches which can potentially cover the costs of at least three Starlink launches, which would then be basically free.  If the given booster launches 10 times in total and we assume that each payload fairing can be used twice on average, the total costs after 10 launches would be around $210 million.  As an example from the following table, SpaceX could use each Falcon booster for four commercial launches and then the remaining six could launch Starlink satellites 'for free'.  This is a pretty clear-cut case of booster reusability being worth it."", ""The remaining $5 million include costs of reusing the payload fairings (Musk probably only counts fairing refurbishment costs in this scenario because it costs $5–6 million to manufacture a new set of fairings), helium, fuel and oxygen, and also the cost of recovering the booster and fairings. Most importantly, the cost of refurbishing the recovered booster is only $250,000, according to Musk.  That's a very low amount, which could indicate that the booster refurbishment process does not require much manpower, expensive hardware replacements or complex inspections.  NASA's Space Shuttle was also reusable but the refurbishment process was extremely complex, time-consuming and therefore expensive.  In the end, the mostly reusable Shuttle was actually more expensive than a fully expendable rocket.  Space Shuttle during ground processing which was incredibly complicated and resource-intensive (Credit: NASA) SpaceX offers the launch of a reused Falcon 9 for the price of $50 million, which would mean that, if the $15 million marginal cost is somewhat accurate, the company makes a significant profit on every launch.  However, that's not the whole story because we also have to consider the investment SpaceX made in order to develop reusability.  According to Elon Musk, Falcon 9 reusability cost about a billion dollars to develop.""]"
17,144,1-3,When did people first start caring about rocket engine reusability?,"[3, 3, 3]","['KILT_113053-21', 'MARCO_01_1437130646-11', 'MARCO_01_1437130646-14']","[""On January 5, 1972, President Richard M. Nixon announced plans to develop the Space Shuttle, a reusable Space Transportation System (STS) for routine access to space. The Shuttle was composed of the Orbiter Vehicle (OV) containing the crew and payload, two Solid Rocket Boosters (SRBs), and the External Tank (ET) that carried liquid fuel for the OV's main engines.  MSFC was responsible for the SRBs, the OV's three main engines, and the ET.  MSFC was also responsible for the integration of Spacelab, a versatile laboratory developed by the European Space Agency and carried in the Shuttle's cargo bay on some flights.   The first test firing of an OV main engine was in 1975.  Two years later, the first firing of a SRB took place and tests on the ET began at MSFC.  The first 'Enterprise' OV flight, attached to a Shuttle Carrier Aircraft (SCA), was in February 1977; this as followed by a free landings in August and October.  In March 1978, the 'Enterprise' OV was flown atop a SCA to MSFC.  Mated to an ET, the partial Space Shuttle was hoisted onto the modified Saturn V Dynamic Test Stand where it was subjected to a full range of vibrations comparable to those in a launch."", ""By 1961, with the encouragement of the Democratic Party campaign for the presidency, Americans had begun agonizing over the 'missile gap.' After the elections and the inauguration, on May 25, 1961, President John F. Kennedy and Congress set a new course for NASA, preempting existing developmental programs and schedules.  The United States, before the decade is out, should land 'a man on the Moon' and return him safely to Earth. 11 The Apollo program became the leading effort.  An orbital Space Station and Earth-to-orbit spacecraft, while they might contribute to a continuing presence in space and provide a platform for further lunar or planetary exploration, did not contribute to the short term goal of an American lunar landing within the decade.  NASA readjusted its schedules and priorities to accommodate Apollo.  The Space Station and the reusable aerospace craft remained viable, but future, options.  Marshall Space Flight Center (MSFC), in particular, continued to study the reusable vehicle concept and as early as January 1963, developed a statement of work for a fully reusable rocket-powered vehicle that could carry civilian passengers, and a sizable payload.  Marshall awarded independent contracts to Lockheed Aircraft and North American Aviation for design and development studies."", 'FROM ENGINEERING SCIENCE TO BIG SCIENCE 281 Thus, in March 1966, a special NASA planning team developed a statement of work for a reusable ground launch vehicle, and in October Marshall Space Flight Center and the Manned Spacecraft Center agreed to pursue independent study and research on such a spacecraft. NASA budgets, however, were becoming increasingly constrained, and at a January conference at NASA Headquarters administrators reluctantly agreed that there should be no new launch vehicle development in order to reduce the budget problems.  The year, 1967, passed without any real progress in the development of a reusable spacecraft, but financial pressures became greater rather than less.  In January 1968, George Mueller rekindled sentiments for work on a reusable spacecraft as potentially a cost-saving measure: Where we stand now is the feasibility generally has been established for reusability.  And we have much data on many concepts.  We have an uncertain market demand and operational requirements.  The R&D costs for fully reusable systems, including incremental development approaches, appear high.  Personnel and cargo spacecraft seem to dominate Earth-to-orbit logistics costs.  R&D costs for new logistics systems are in competition with dollars to develop payloads and markets (dollars are scarce).  14 Nevertheless, NASA put a decision for the development of a reusable vehicle on hold.']"
18,146,1-7,"OK, and what can I do to make my bike more comfortable?","[4, 4, 4]","['MARCO_06_1920958237-6', 'MARCO_22_486622856-13', 'MARCO_29_663198419-4']","[""However this is completely variable and the reason why you see touring handlebars with multiple positions; so the rider can change hand positions and stretch the back, or sit upright and relieve some pressure. It is important to feel comfortable so make sure you have your bike dialed in before you get into a habit of riding it with the wrong saddle height, handlebar reach, or cleat placement.  Your body adjusts and even the wrong fit bikes can feel comfortable for some time, but beneath the surface it is doing more damage to your muscles, bones, and soft tissues.  A quick story to illustrate my point; my friend got a professional bike fitting for his first major road bike purchase.  I'm talking laser levels, ergonomic stationary bikes, video cameras, $800; the whole shebang.  Fast forward about 3 years and 1000's of miles on this bike, he takes it in for a routine seasonal maintenance.  After 2-3 short rides, he starts getting major pain in his knee.  Sensing something was up, he takes it back into the shop and finds that one of his pedal clip spacers to raise the height of his clip for his shoes was left off when he picked the bike up."", ""Carry on reading to find some essential tips on making your bike seat more comfortable. Choose the right saddle for your bike The first thing up in how to make a bike seat more comfortable is choosing the right saddle.  You must go for a seat that is made to meet your biking needs.  You can either choose a road bike saddle, a saddle for an MTB, or a leisure bike.  But choose a saddle that is best suited for your cycling requirements.  If you choose a saddle that meets your cycling demands, it will allow you to find the correct option that will go well with your different riding positions.  You'll be in a more comfortable position and will be in better control of your ride.  Adjusting the saddle The second most important thing in how to make a bike seat more comfortable is adjusting it correctly.  The primary elements here are the height of the seat, its tilt, and its aft/fore position.  A seat that is too high/low will make your hips tilt when you are pedaling.  And as the motion increases, the potential of chafing and rubbing increases as well.  Hence, you need to choose the correct seat position by standing right next to it.  Place your hands on your hip bones and make the adjustments according to that height."", ""Here Is Why You Should Choose The Best Bike For Tall People. Comfort and Convenience Isn't true that you would like to be comfortable all the way on your bike?  Comfort is determined by the size, style and quality of the bicycle.  The right size and style will ensure that the bike is well-fitting for you.  So, there's not the inconvenience of either poor saddle height, narrow handlebars or short stem length that normally result in poor positioning or posture on the bike.  When all these are right, you're always going to be comfortable and confident.  Better Performance and Efficiency Whatever purpose you are buying the bicycle for, you want the most efficient model which exhibits high levels of performance.  And, this is always the mark of the best bikes for tall guys For example, if it is a mountain bike, you need a bike that would easily climb difficult trails.  So it has that climbing power.  You also want to move fast, and the bike has that power to accelerate.  The right bike would mean that chances of falling or crashing are limited because they possess high rolling resistance against coasting aspects.  This enhances the personal safety of the rider, which is our next point.  Improve Personal Safety For routine riders, you probably know much better about safety and cycling.""]"
19,146,1-9,What's the best bike seat,"[4, 4, 4]","['MARCO_11_665334055-9', 'MARCO_25_1222114287-5', 'MARCO_30_40841124-4']","['Even though this saddle is a little chunky compared to their counterpart, but still this saddle is lighter with the weight of 360 grams only. Perfect for a heavy rider.  The Selle SMP is suitable for adventure cycling and touring.  The Selle Hybrid gel decreases 30% of anatomical pressure to the saddle and also offers the more comfortable ride.  The steel rail is built for resistance to stress and minimize vibrations.  Versatile saddle suitable for long rides.  Brooks England Cambium C-17 Saddle Best Use Cycling Saddle Type Performance Saddle Cover Material Cotton Cushioning Material None Rail Material Steel Dimensions 283 x 162 x 52 millimeters Weight 14.64 ounces Gender Unisex Sustainability Contains organically grown fibers The Brooks Cambium C17 is maintenance free compared to other Brooks leather line.  This is made of waterproof material and need not put a set cover during rain.  It is one of the best road bike saddle for long rides.  Features include total firmness all throughout the ride, it flexes on the bumpy road to provide comfort and adjusts well to your sit bones.  Comfortable saddle even out of the box.  Compare to other lines of leather Brooks saddle the cambium is waterproof and can withstand in heavy rain and snow.  The most customer of brooks cambium is the touring enthusiast and bike packers.  Recommended for long rides and century rides.', ""Avoid overexerting yourself and instead, increase your cycling mileage gradually. Always wear form-fitting cycling shorts.  Grab one of the wider bicycle seats that protect the perineum.  Such seats have extra padding which cushions the perineal area.  How the Best Bike Saddle For Numbness Helps Your Ride The best scenario is when the majority of your body weight is resting on your 'sit bones'.  But never on the soft tissues, your riding position notwithstanding.  This calls for the most comfortable cycling saddle.  The saddle will conform to your body shape and ensure that it supports your weight on the sit bones sparing the soft tissues and your perineum.  Best Bike Saddle To Prevent Numbness Advanced engineering studies have led to the development of various seats to prevent and/or limit numbness-related disorders… 1.  Padded Bicycle Saddle with Soft Cushion The outstanding feature for this group of bike saddles for numbness is the ideal soft padding.  They pride themselves in having the best ability to absorb shocks and to deliver a comforting ride.  Their tailored cushioning protects you against prostate problems, numbness, and chronic back pain.  Most have a deep center cutout and will distribute pressure away from the sensitive areas and back across the saddle's surface.  The cushioning also enhances their anatomic support helping in preventing sit bone pain."", ""The seat features soft padding, waterproof seat cover, dual suspension, and comfort centric design. Backed by a 12-month money back guarantee, this seat will enable you to exercise in comfort and get in shape, providing prostate as well as tailbone relief.  Apart from young people, it's great for seniors with numerous health benefits for the elderly. 7.  Serfas FS-243 Hybrid Reactive Full Suspension Saddle Buy now from Amazon → The Serfas FS-243 bike saddle boasts a pressure-eliminating channel & full suspension hybrid base for reduced numbness & discomfort as well as additional ride comfort, which you will need for all those bumps and high mile rides.  In addition, this dual density base seat comes with an infinite comfort system for maximum support and comfort you need when it comes to sustained long distance cycling.  What's more, the dual density base ensures your sit bones never hit a hard spot and skin never suffers from saddle friction as well as irritation.  Finally, the zero friction gel infused padding optimizes saddle comfort as well as support while reducing saddle friction and chaffing.  6.  Giddy Up!  Shock Absorbing Universal Fit Bike Seat Buy now from Amazon → This incredible Giddy Up bike seat is designed for both men and women who are looking for a bike seat replacement that is comfortable, waterproof and durable.""]"
